ParName   Value   Gradient
MGparm[7]      1.00027  8.75475e-08
MGparm[8]    0.0999997 -1.28036e-07
SR_parm[1]      13.2126  5.99878e-06
SR_parm[3]      1.76124  4.65706e-08
recdev1(1988)     0.223034 -2.21518e-08
recdev1(1989)     0.629496  2.07707e-07
recdev1(1990)      1.13444  1.18532e-06
recdev1(1991)      1.39363 -2.25995e-07
recdev1(1992)      1.35611  8.87121e-07
recdev1(1993)      1.31628  8.61532e-07
recdev1(1994)      1.18639  2.22866e-06
recdev1(1995)     0.663103  8.04343e-07
recdev1(1996)     0.574511  1.68998e-06
recdev1(1997)     0.204789  1.00885e-06
recdev1(1998)    -0.217903  6.42056e-07
recdev1(1999)    -0.656207  6.43447e-07
recdev1(2000)     -1.14826  4.31927e-07
recdev1(2001)    -0.895881  1.77156e-07
recdev1(2002)    -0.656779   1.7519e-07
recdev1(2003)    -0.631673 -3.20709e-07
recdev1(2004)    -0.337029 -5.65944e-07
recdev1(2005)    -0.483325 -3.66132e-07
recdev1(2006)    -0.521027 -8.31671e-07
recdev1(2007)    -0.893541 -6.91583e-07
recdev1(2008)    -0.927778 -4.28153e-07
recdev1(2009)    -0.639697 -8.77637e-07
recdev1(2010)     -0.54258 -7.44248e-08
recdev1(2011)     -0.36027  5.40469e-07
recdev1(2012)    -0.157184 -2.85307e-07
recdev1(2013)   -0.0432743  1.24445e-07
recdev1(2014)     0.223804   2.5929e-07
recdev1(2015)       0.1979  1.35673e-07
recdev1(2016)      0.37423  3.18882e-07
recdev1(2017)     0.106413 -2.21602e-07
recdev1(2018)    -0.297895 -5.06502e-09
recdev1(2019)    -0.204916   2.5344e-08
recdev1(2020)    0.0311054  5.35005e-08
Q_parm[1]    -0.355404 -1.71941e-06
Q_parm[2]      0.26086  2.65727e-08
selparm[1]      4.26352 -6.23847e-07
selparm[2]      1.67573  4.65178e-07
selparm[3]      4.86581  1.82302e-07
selparm[4]      1.69928  -4.0781e-08
selparm[5]      2.00026  0.000103608
selparm[6]    0.0183609  1.52099e-07
selparm[7]    -0.280552  -7.0404e-07
selparm[8]    -0.242925  3.52672e-07
selparm[9]    -0.297229  7.99093e-07
selparm[10]    -0.337263 -3.67884e-08
selparm[11]  -0.00833943   3.6637e-06
selparm[12]  -0.00112834  2.44845e-07
