"Objective_function","Main_InitAge_4","Main_InitAge_3","Main_InitAge_2","Main_InitAge_1","Main_RecrDev_1992","Main_RecrDev_1993","Main_RecrDev_1994","Main_RecrDev_1995","Main_RecrDev_1996","Main_RecrDev_1997","Main_RecrDev_1998","Main_RecrDev_1999","Main_RecrDev_2000","Main_RecrDev_2001","Main_RecrDev_2002","Main_RecrDev_2003","Main_RecrDev_2004","Main_RecrDev_2005","Main_RecrDev_2006","Main_RecrDev_2007","Main_RecrDev_2008","Main_RecrDev_2009","Main_RecrDev_2010","Main_RecrDev_2011","Main_RecrDev_2012","Main_RecrDev_2013","Main_RecrDev_2014","Main_RecrDev_2015","Main_RecrDev_2016","Main_RecrDev_2017","Main_RecrDev_2018","Main_RecrDev_2019","Main_RecrDev_2020","SSB_Virgin","SSB_Initial","SSB_1992","SSB_1993","SSB_1994","SSB_1995","SSB_1996","SSB_1997","SSB_1998","SSB_1999","SSB_2000","SSB_2001","SSB_2002","SSB_2003","SSB_2004","SSB_2005","SSB_2006","SSB_2007","SSB_2008","SSB_2009","SSB_2010","SSB_2011","SSB_2012","SSB_2013","SSB_2014","SSB_2015","SSB_2016","SSB_2017","SSB_2018","SSB_2019","SSB_2020","SSB_2021","SSB_2022","SSB_2023","SSB_2024","SSB_2025","SSB_2026","SSB_2027","SSB_2028","SSB_2029","SSB_2030","SSB_2031","SSB_unfished","SSB_Btgt","SSB_SPR","SSB_MSY"
310.382,0.223034,0.629496,1.13444,1.39363,1.35611,1.31628,1.18639,0.663103,0.574511,0.204789,-0.217903,-0.656207,-1.14826,-0.895881,-0.656779,-0.631673,-0.337029,-0.483325,-0.521027,-0.893541,-0.927778,-0.639697,-0.54258,-0.36027,-0.157184,-0.0432743,0.223804,0.1979,0.37423,0.106413,-0.297895,-0.204916,0.0311054,593452,593452,669379,821799,1084570,1306190,1431800,1447660,1309210,1123430,908485,684276,468805,289867,166842,127019,125794,144707,159797,159233,143026,121468,120923,136395,159773,207689,261289,334070,402326,468749,487354,441851,399482,287881,270353,269660,268000,262628,254748,247221,241640,238195,593452,237381,235135,129746
315.212,0.166979,0.585229,1.13689,1.38715,1.47916,1.29297,1.19534,0.674393,0.516145,0.172306,-0.29731,-0.689049,-1.22052,-0.796461,-0.697606,-0.636512,-0.307873,-0.502174,-0.49058,-0.90234,-1.07759,-0.554212,-0.50672,-0.313493,-0.0615542,-0.0149884,0.160072,0.211122,0.456967,0.0484212,-0.245554,-0.229914,0.061303,607715,607715,669020,827197,1101250,1379400,1518240,1520310,1371140,1164290,931828,694923,472827,290781,171392,131090,126780,147163,163146,164204,147874,120255,122105,142806,169941,225901,283385,346536,408326,480946,493685,444792,401220,287478,273227,274799,274305,270320,264103,258022,253501,250744,607715,243086,233446,140936
330.583,0.324498,0.499743,0.885049,1.35999,1.30519,1.17124,1.05718,0.488802,0.614456,0.126542,-0.208808,-0.825208,-1.32653,-0.772788,-0.733832,-0.917765,-0.423579,-0.631518,-0.649337,-0.994304,-0.959732,-0.670367,-0.435885,-0.323316,-0.180292,0.175593,0.240078,0.403101,0.713192,0.391369,0.610229,-0.38676,0.0737691,634414,634414,708044,794648,1047960,1291280,1399340,1390620,1239460,1082020,889902,677926,463486,280899,166683,131694,120992,134814,147104,142894,126432,108963,112986,137785,166818,214317,292084,382509,482214,617310,679267,708702,647055,386335,323251,313920,310967,307057,303284,300231,297794,296139,634414,253766,255295,142300
330.645,0.460429,0.574537,1.02829,1.41635,1.35349,1.35013,1.27027,0.851866,0.884754,0.116003,-0.0992651,-0.50622,-1.22021,-0.925318,-0.522775,-0.265011,-0.262828,-0.37258,-0.388166,-0.962947,-0.897001,-0.56338,-0.645161,-0.483231,-0.398346,-0.0616117,0.136858,0.227544,0.427351,0.0705028,-0.480858,-0.202106,-0.911374,540264,540264,637449,733832,964709,1172170,1298500,1340530,1252650,1135720,924347,687759,473977,290651,159809,120411,126292,141265,153974,156410,134858,106922,103419,110328,122507,152889,197716,256971,316357,377753,388475,337348,299186,173721,131061,123575,96935.5,62832,38311.5,23368,15581.1,11822.6,540264,216106,189267,142430
327.595,0.127783,0.58648,1.01722,1.29035,1.29124,1.35108,1.19866,0.618316,0.434601,-0.0561925,-0.346383,-0.645198,-1.53734,-0.95245,-0.526671,-0.589653,-0.334632,-0.666446,-0.600431,-0.961033,-0.852108,-0.553508,-0.478044,-0.361598,-0.171123,0.00538654,0.284759,0.504248,0.696596,0.485441,-0.158339,0.0536713,-0.154686,669729,669729,730195,873672,1128770,1363160,1543870,1605700,1461490,1234790,967762,714214,494158,304210,175157,139309,135039,150884,160429,158339,142874,125883,133206,156261,185218,237652,297833,375930,469241,567770,608835,553614,507840,331567,270546,249563,240623,232560,224968,218693,213901,210755,669729,267892,224711,179314
337.403,0.332118,0.465203,1.04652,1.27333,1.11333,1.27161,1.31669,0.684997,0.525362,0.223705,-0.413423,-0.74052,-1.50203,-0.655476,-0.683628,-0.71088,-0.336151,-0.461677,-0.574782,-0.925023,-0.926116,-0.533932,-0.574942,-0.362094,0.13441,-0.0942472,0.444848,0.16076,0.32178,0.222248,0.179211,0.327412,-0.548614,632923,632923,703304,828110,1061220,1218080,1342500,1453870,1371470,1183010,961319,717127,484520,292086,177593,142711,135426,153762,173351,172429,153507,131424,137281,153998,177940,255279,316801,410988,476673,516461,531057,523400,535675,358976,240006,189128,161687,135210,110558,91334.6,77994.3,69617,632923,253169,244566,139451
332.976,-0.000217044,0.873689,1.04146,1.41965,1.33332,1.35269,1.07736,0.461343,0.625517,0.166527,-0.210856,-0.420637,-1.24668,-0.828458,-0.855705,-0.917875,-0.485014,-0.522275,-0.712339,-0.981884,-1.069,-0.590642,-0.459802,0.0022126,0.158001,0.0379029,0.285952,0.0594299,0.435286,0.0341836,-0.418733,0.33237,0.0232297,621745,621745,719918,879044,1146870,1374800,1514900,1504120,1312190,1124830,919289,697741,496298,317174,189984,144781,135074,149571,166297,159834,139803,118074,125675,152611,203688,286314,353847,440002,502941,584212,603957,536869,534138,393652,335748,311134,300954,290321,276478,262932,252348,245343,621745,248698,289180,185332
333.797,0.498022,0.671639,1.30133,1.45821,1.46196,1.25343,1.09191,0.65915,0.769273,0.0162574,-0.18161,-0.725716,-1.27911,-0.906622,-0.734195,-0.617558,-0.304233,-0.649541,-0.655388,-1.00826,-1.00591,-0.476844,-0.325385,-0.104553,0.208855,0.048033,0.235574,0.376619,0.408857,0.090424,-0.40357,-0.676288,-0.494774,655105,655105,802719,1021790,1345780,1612870,1708140,1649690,1467140,1297590,1053180,790244,547828,343546,205815,158666,159595,187263,196580,185467,163332,139741,152938,190881,239049,329367,403250,475390,559991,629114,626063,546810,453758,269898,214492,212859,192259,168346,141667,120029,104948,95249.5,655105,262042,277924,165081
331.318,0.458184,0.747673,1.10667,1.4902,1.31976,1.2336,1.08614,0.804361,0.478859,0.18942,-0.137333,-0.556177,-1.2658,-1.0842,-0.429392,-0.548668,-0.146588,-0.479825,-0.552573,-0.846218,-0.957881,-0.656922,-0.607744,-0.492079,-0.124747,-0.23462,0.143363,0.35014,0.198669,0.176452,-0.81156,-0.502697,0.651528,597687,597687,737454,880036,1162670,1373380,1447270,1415340,1296990,1117390,896688,681956,476898,295997,162987,130467,135558,164504,181073,173859,154417,128760,123516,133833,149664,199381,241659,300595,385238,440037,455714,393571,332526,321751,416675,479641,508750,531505,556045,577539,593928,605348,597687,239075,226256,140657
339.318,0.249375,0.20525,0.909516,1.44765,1.19383,1.09287,0.904802,0.425093,0.164562,0.0654821,-0.209826,-0.984062,-1.33692,-0.922736,-1.12281,-1.01592,-0.547952,-0.41876,-0.645689,-0.983623,-0.738514,-0.411295,-0.258804,-0.0559966,0.0973844,0.109837,0.39041,0.334145,0.516767,0.334551,-0.209483,0.283064,1.1378,741104,741104,762150,868061,1232780,1503590,1586090,1535710,1353870,1122420,899927,701996,488700,302646,182709,136410,126663,145029,174084,177267,159019,152696,181386,228302,286500,376244,465298,581996,682023,771594,802236,728971,708446,737915,957058,1081770,1143060,1227560,1331640,1418470,1481490,1525150,741104,296442,320535,193637
